datelastmodified,catalognumber,scientificname,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,yearcollected,monthcollected,daycollected,longitude,latitude,coordinateprecision,minimumdepth,maximumdepth,sex,lifestage,individualcount,observedindividualcount,observedweight,aphiaid,samplesize,occurrenceid,datasetid,season,dataprovider_id,aphiaidaccepted,scientificname_accepted,taxonlsid
2018-03-26T02:00:00,IOF_phyto_composition_1787,"Nanoflagellates spp.",,,,,,,,,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=1,,IOF_phyto_composition_1787,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,1,,urn:lsid:marinespecies.org:taxname:1
2018-03-26T02:00:00,IOF_phyto_composition_1777,"Gymnodinium sp.",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=109475,,IOF_phyto_composition_1777,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,109475,Gymnodinium,urn:lsid:marinespecies.org:taxname:109475
2018-03-26T02:00:00,IOF_phyto_composition_1778,"Gymnodinium sp. < 20µm",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=109475,,IOF_phyto_composition_1778,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,109475,Gymnodinium,urn:lsid:marinespecies.org:taxname:109475
2018-03-26T02:00:00,IOF_phyto_composition_1779,"Gymnodinium sp.",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=109475,,IOF_phyto_composition_1779,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,109475,Gymnodinium,urn:lsid:marinespecies.org:taxname:109475
2018-03-26T02:00:00,IOF_phyto_composition_1780,"Gyrodinium sp.",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,,,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=109476,,IOF_phyto_composition_1780,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,109476,Gyrodinium,urn:lsid:marinespecies.org:taxname:109476
2018-03-26T02:00:00,IOF_phyto_composition_1784,"Scrippsiella sp.",Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,,,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=109545,,IOF_phyto_composition_1784,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,109545,Scrippsiella,urn:lsid:marinespecies.org:taxname:109545
2018-03-26T02:00:00,IOF_phyto_composition_1776,"Gymnodinium simplex",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,simplex,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=109831,,IOF_phyto_composition_1776,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,109831,"Gymnodinium simplex",urn:lsid:marinespecies.org:taxname:109831
2018-03-26T02:00:00,IOF_phyto_composition_1781,"Oxytoxum coronatum",Chromista,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Oxytoxum,,coronatum,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=110086,,IOF_phyto_composition_1781,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,110086,"Oxytoxum coronatum",urn:lsid:marinespecies.org:taxname:110086
2018-03-26T02:00:00,IOF_phyto_composition_1782,"Oxytoxum sceptrum",Chromista,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Oxytoxum,,sceptrum,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=110114,,IOF_phyto_composition_1782,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,110114,"Oxytoxum sceptrum",urn:lsid:marinespecies.org:taxname:110114
2018-03-26T02:00:00,IOF_phyto_composition_1770,"Pennatae indeterm",Chromista,Ochrophyta,Bacillariophyceae,,,,,,,2008,5,14,17.66833333,42.26833333,,0,200,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=148899,,IOF_phyto_composition_1770,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=5718,spring,1073,148899,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899
